"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.1,-0.8,3,0.5,5.6,1.5,0.4,2.6,0.7,-0.9,0,-4.4,0.2,2.5,1.3,-3.7,1,0.5,"Hip.","07","SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.2,1,2.4,0.6,0.7,0,0.4,1.8,0.5,0.4,0,-6.5,0.2,1.8,1.1,-2.8,1.6,1,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.1,1.2,2.5,0.4,0.9,0.1,0.9,2.4,0.5,0.3,0,-6.3,0.2,1.7,0.7,-2.3,1.7,1,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.1,-0.8,3,0.5,0.3,1.4,5.6,2.6,0.7,-0.9,0,-4.3,0.2,2.5,1.3,-3.7,1,0.5,"Hip.","07","SF","Cobertura","AFN","SO","Sala","Curitiba"
-0.2,-0.4,2.5,0.8,1,0.9,1,3.7,0.6,0.4,0,-5.7,0.1,2,0.3,-2.3,1.4,1.2,"Hip.","07","SF","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.2,0.9,2.5,0.7,1.2,0.9,1.2,3.8,0.4,0.4,0,-7.3,0.2,1.7,0.5,-2.2,1.5,1,"Hip.","07","SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.7,0,2.8,1.3,4.9,0.8,1.4,8.5,0.5,-0.6,0,-14,0.3,3.8,0.7,-4.5,2,0.9,"Hip.","07","SF","Cobertura","AFN","O","Sala","Curitiba"
-0.1,-0.3,2.2,0.6,0.9,0.7,0.8,3.2,0.4,0.2,0,-5.3,0.3,-0.1,0,0.1,1.4,0.9,"Hip.","07","SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-0.3,1.3,1.9,0.6,0.9,0.6,1,3.2,0.2,0.3,0,-5.6,0.3,1.3,0,-1.3,1.1,1,"Hip.","07","SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-0.4,-0.2,2.2,1.2,1,0.4,4.5,7.2,0.3,-1,0,-11.7,0.3,-0.3,0,0.3,2.8,1.3,"Hip.","07","SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.3,0.1,2.1,1.9,0.9,1,0.6,4.5,0.3,0.2,0,-7.7,0.2,0.3,0,-0.3,1.4,1,"Hip.","07","SF","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.2,-0.4,2.3,1.4,0.8,0.6,1,3.9,0.5,0.1,0,-6.3,0.3,-0.4,0,0.4,1.2,0.9,"Hip.","07","SF","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.2,0.5,3.5,4.1,11,1.2,0.9,7.5,0.8,-1.1,0,-10.6,0.2,-0.1,0,0.1,1.1,0.5,"Hip.","07","SF","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.3,0,2.1,1.9,0.6,1,1,4.5,0.3,0.1,0,-7.7,0.2,0.3,0,-0.3,1.5,1.1,"Hip.","07","SF","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.2,-0.4,2.4,1.4,1.1,0.6,0.8,4,0.5,0.1,0,-6.2,0.3,-0.4,0,0.4,1.2,0.9,"Hip.","07","SF","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.2,0.5,3.4,4.1,0.9,1.2,10.8,7.5,0.8,-1.1,0,-10.6,0.2,-0.1,0,0.1,1.1,0.5,"Hip.","07","SF","Cobertura","AFN","NO","Sala","Rio de Janeiro"
-0.2,1.7,2,0.6,0.5,-0.1,0.7,1.7,0.3,0.4,0,-6.8,0.2,0.9,0,-0.9,1.4,1,"Hip.","07","SF","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.3,1.9,2.1,0.5,0.9,0,1,2.4,0.3,0.2,0,-7.2,0.3,1.1,0,-1.1,1.4,1,"Hip.","07","SF","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.2,0.6,2.9,0.6,6.9,1.6,0.6,3.2,0.6,-1,0,-5,0.2,-0.4,0,0.4,0.9,0.5,"Hip.","07","SF","Cobertura","AFN","SE","Sala","Rio de Janeiro"
-0.2,1.7,2,0.6,0.7,-0.1,0.6,1.8,0.3,0.3,0,-6.9,0.2,0.9,0,-0.9,1.3,1,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.2,1.9,2.2,0.5,1,0,1,2.5,0.4,0.2,0,-7.2,0.3,1.1,0,-1.1,1.4,1,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.2,0.6,2.9,0.6,0.5,1.6,6.9,3.2,0.6,-1,0,-5,0.2,-0.4,0,0.4,0.9,0.5,"Hip.","07","SF","Cobertura","AFN","SO","Sala","Rio de Janeiro"
-0.2,0,2.2,0.7,0.8,0.8,1,3.3,0.4,0.3,0,-5.6,0.3,-0.1,0,0.1,1.4,1.1,"Hip.","07","SF","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
-0.3,1.6,1.8,0.6,1,0.7,1,3.3,0.2,0.2,0,-5.9,0.2,1.4,0,-1.4,1.3,1.2,"Hip.","07","SF","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
-0.6,1.6,2.7,1.6,5.4,0.8,1.7,9.5,0.6,-0.9,0,-17.6,0.3,0.1,0,-0.1,1.8,0.8,"Hip.","07","SF","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.1,-1.4,2.1,0.5,0.8,0.7,0.6,2.6,0.5,0.2,0,-3.5,0.2,2.2,0.3,-2.5,1.3,0.9,"Hip.","07","SF","Cobertura","AFN","L","Dorm. N","São Paulo"
-0.2,0,2,0.5,0.8,0.5,0.8,2.6,0.3,0.3,0,-4.5,0.2,2.1,0.3,-2.4,1.2,0.8,"Hip.","07","SF","Cobertura","AFN","L","Dorm. S","São Paulo"
-0.4,-2.1,2,0.9,0.7,0.2,3.8,5.7,0.4,-0.8,0,-9.1,0.3,1.3,0.1,-1.3,2.4,0.9,"Hip.","07","SF","Cobertura","AFN","L","Sala","São Paulo"
-0.2,-1.2,2.1,1.8,0.7,0.8,0.5,3.8,0.4,0.1,0,-5.4,0.2,2.8,0.3,-3.1,2.2,1,"Hip.","07","SF","Cobertura","AFN","NE","Dorm. 1","São Paulo"
-0.1,-1.7,2.3,1.2,0.5,0.5,0.8,2.9,0.6,0.1,0,-3.7,0.1,2.4,0.3,-2.6,1.8,0.9,"Hip.","07","SF","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.2,-1.4,3.4,3.7,9.4,1,0.6,6.4,1,-0.9,0,-7.6,0.2,1.1,0.1,-1.2,1.6,0.5,"Hip.","07","SF","Cobertura","AFN","NE","Sala","São Paulo"
-0.2,-1.2,2.1,1.7,0.5,0.9,0.8,3.7,0.4,0.1,0,-5.5,0.2,2.8,0.2,-3.2,2.1,1,"Hip.","07","SF","Cobertura","AFN","NO","Dorm. 1","São Paulo"
-0.1,-1.7,2.3,1.3,0.8,0.6,0.5,3.1,0.6,0.1,0,-3.6,0.1,2.3,0.3,-2.6,1.9,0.9,"Hip.","07","SF","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.2,-1.4,3.4,3.7,0.7,1,9.2,6.3,1,-0.9,0,-7.6,0.2,1,0.1,-1.1,1.7,0.5,"Hip.","07","SF","Cobertura","AFN","NO","Sala","São Paulo"
-0.2,0.3,2,0.5,0.4,-0.1,0.6,1.3,0.4,0.3,0,-4.9,0.2,2.4,0.4,-2.8,1.4,0.8,"Hip.","07","SF","Cobertura","AFN","SE","Dorm. 1","São Paulo"
-0.1,0.5,2.1,0.4,0.7,0,0.7,1.8,0.4,0.1,0,-4.8,0.2,2.4,0.4,-2.8,1.4,0.8,"Hip.","07","SF","Cobertura","AFN","SE","Dorm. 2","São Paulo"
-0.1,-1.3,2.7,0.4,5.9,1.4,0.3,2.4,0.7,-0.9,0,-3.5,0.2,0.4,0.1,-0.5,0.7,0.4,"Hip.","07","SF","Cobertura","AFN","SE","Sala","São Paulo"
-0.2,0.3,1.9,0.5,0.6,-0.1,0.4,1.4,0.4,0.3,0,-5,0.2,2.5,0.5,-3,1.4,0.8,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 1","São Paulo"
-0.1,0.5,2.1,0.4,0.7,0,0.7,1.8,0.4,0.1,0,-4.8,0.2,2.4,0.4,-2.9,1.4,0.8,"Hip.","07","SF","Cobertura","AFN","SO","Dorm. 2","São Paulo"
-0.1,-1.4,2.7,0.4,0.4,1.4,5.8,2.4,0.7,-0.9,0,-3.5,0.2,0.4,0.1,-0.5,0.7,0.4,"Hip.","07","SF","Cobertura","AFN","SO","Sala","São Paulo"
-0.1,-1.2,2.2,0.6,0.6,0.7,0.9,2.8,0.5,0.2,0,-3.6,0.2,2.3,0.3,-2.5,1.4,1,"Hip.","07","SF","Cobertura","AFN","O","Dorm. N","São Paulo"
-0.3,0.2,1.9,0.5,0.7,0.6,0.9,2.7,0.2,0.2,0,-4.7,0.2,2.4,0.3,-2.7,1.4,0.9,"Hip.","07","SF","Cobertura","AFN","O","Dorm. S","São Paulo"
-0.5,-0.7,2.7,1.2,4.6,0.6,1.4,7.7,0.6,-0.7,0,-13.4,0.3,1.7,0.1,-1.8,1.2,0.8,"Hip.","07","SF","Cobertura","AFN","O","Sala","São Paulo"
