"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.3,0.1,-0.1,0.1,0.1,1,1.2,0,0,0,-0.1,0,0.1,0,-0.1,0.1,-0.1,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
0,-0.3,-0.1,0.1,0.1,-0.1,-1.2,-1.2,0.1,0,0,1.1,-0.1,0,0.5,-0.5,0,-0.2,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
0,-0.1,-0.1,0,0.1,0.1,0.9,0.9,0,-1.9,0,1.1,0,0.5,0.2,-0.8,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.1,1.1,-0.1,2.5,-0.2,-0.4,0.6,2.4,-0.1,0.1,-0.1,-5.4,0,0.3,-0.4,0.1,0.3,0.1,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.1,1.7,0.1,3.2,0.9,-0.3,0.9,4.6,-0.1,0.1,-0.1,-6.4,0.1,0.5,-0.4,0,0.4,0.2,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.2,2.2,0.3,5.2,1.1,-0.2,0.5,6.5,-0.1,-1,-0.1,-5,0.1,2.2,-0.6,-1.6,0.3,0.1,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.1,1.1,-0.1,2.7,0.6,-0.5,-0.2,2.7,-0.1,0.1,-0.1,-5.7,0.1,0.3,-0.5,0.1,0.4,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.1,1.6,0,3.2,0.8,-0.3,0.9,4.5,-0.1,0.1,-0.1,-6.5,0.1,0.5,-0.4,-0.1,0.4,0.2,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.2,2.2,0.3,5.1,0.5,-0.2,1.1,6.6,-0.1,-1,-0.1,-5,0.1,2.2,-0.7,-1.5,0.3,0.1,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Curitiba"
0,-1.2,-0.1,0.5,0.1,-5.2,-0.4,-5.1,0.2,-0.1,0,6.9,-0.2,-0.1,1.6,-1.4,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0.1,-1.1,0,0.4,-0.6,-3.2,-0.7,-4.1,0.2,-0.1,0,6.3,-0.1,-0.1,1.4,-1.4,0,-0.3,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.2,-0.8,0.1,0.4,-0.7,-1.3,-0.2,-1.6,0.2,-1.2,0,3.3,-0.1,-0.8,0.6,0.1,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Curitiba"
0,-1.2,-0.1,0.5,-0.4,-5.1,0.2,-4.9,0.2,-0.2,0,6.7,-0.1,-0.1,1.5,-1.4,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0.1,-1.1,0.1,0.4,-0.6,-3.2,-0.5,-4.2,0.2,-0.1,0,6.3,-0.1,0,1.4,-1.3,0,-0.3,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.2,-0.9,0.2,0.4,-0.2,-1.2,-0.7,-1.6,0.2,-1.2,0,3.4,-0.1,-0.7,0.6,0.1,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Curitiba"
0,0.4,0.1,0.3,1,0.1,0.1,1.4,0,0,-0.1,-1.5,0,0.2,-0.2,0,0.1,-0.1,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
0,-0.2,-0.1,0,-1.2,0,0,-1.2,0,0.1,0,0,0,0.1,0.2,-0.3,0.1,-0.1,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
0,0.9,0.2,0,4,0.2,0.2,4.5,0.1,-2.2,-0.1,-1,0,0.3,0.2,-0.6,0.2,-0.3,"Hip.","01","C10","Cobertura","AFN","O","Sala","Curitiba"
0,0.6,0.3,0.1,0.2,0.2,1.4,2,0.1,0,0,-0.4,0,0,0,0,0,0.1,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0.1,-0.3,0,0.1,0.2,-0.1,-1.4,-1.2,0,-0.1,0,0.8,0,-0.3,0,0.3,0.1,0,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0.1,0.4,0.2,0,0.2,0.2,2.2,2.5,0,-2.9,0,-0.9,0,-0.4,0,0.4,0.2,-0.2,"Hip.","01","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.3,1.2,-0.1,2.9,-0.4,-0.6,0.6,2.5,-0.2,0.1,0,-4.8,0,2.6,0,-2.6,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.2,1.9,-0.1,3.5,0.9,-0.4,1,4.9,-0.3,0.2,0,-5.4,0,3.1,0,-3.1,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.2,2.7,0.4,5.8,1.2,-0.2,0.6,7.4,-0.1,-1.1,0,-7.5,0.1,1.5,0,-1.5,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Rio de Janeiro"
-0.2,1.2,-0.2,2.8,0.5,-0.5,-0.5,2.4,-0.2,0.1,0,-4.8,0,2.6,0,-2.6,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.2,1.9,0,3.5,1,-0.4,0.8,4.9,-0.3,0.2,0,-5.4,0,3.1,0,-3.1,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.2,2.7,0.3,5.8,0.6,-0.2,1.2,7.4,-0.1,-1.1,0,-7.4,0.1,1.5,0,-1.5,-0.2,0,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Rio de Janeiro"
0.3,-1.5,-0.1,0.5,0.2,-5.9,-0.5,-5.8,0.2,-0.2,0,7.4,-0.1,-2.6,0,2.6,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
0.3,-1.4,0,0.3,-0.7,-3.9,-0.9,-5.1,0.3,-0.1,0,7,-0.2,-2.4,0,2.4,0.1,-0.2,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
0.1,-1.3,0,0.5,-0.9,-1.7,-0.4,-2.4,0.3,-1.5,0,5.8,-0.2,-3,0,3,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Rio de Janeiro"
0.3,-1.5,-0.1,0.5,-0.5,-6,0.1,-5.9,0.2,-0.2,0,7.5,-0.1,-2.5,0,2.5,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
0.3,-1.4,0,0.3,-0.8,-3.9,-0.7,-5.1,0.2,-0.1,0,7,-0.2,-2.4,0,2.4,0.1,-0.2,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
0.2,-1.3,-0.1,0.5,-0.3,-1.7,-0.9,-2.4,0.3,-1.5,0,5.9,-0.2,-3,0,3,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Rio de Janeiro"
0,0.6,0.3,0,1.6,0.4,0.5,2.4,0.1,0,0,-0.5,0,0.2,0,-0.2,-0.1,-0.1,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
0,-0.3,0.1,0.2,-1.3,-0.1,0.3,-0.9,0.1,0,0,0.8,0,-0.4,0,0.4,0,-0.1,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
0.1,0.3,0.2,0,2.3,0.2,0.3,2.8,0.1,-3,0,-1.1,0.1,-0.6,0,0.6,0,-0.3,"Hip.","01","C10","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.1,0.5,0.2,0.2,0.2,0.1,1.2,1.7,0,0.1,0,-1,0,0.3,0,-0.3,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","São Paulo"
0,-0.3,-0.1,0,0,0,-1.2,-1.2,0,0,0,1,0,0.1,0.3,-0.4,0.2,-0.3,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","São Paulo"
0,0.5,0.1,0,0.2,0.2,2.5,2.8,0,-2.3,0,-1,0.1,0,0,-0.1,0.3,-0.4,"Hip.","01","C10","Cobertura","AFN","L","Sala","São Paulo"
-0.1,1.3,-0.1,3.3,-0.3,-0.6,0.7,3.1,-0.2,0.1,0,-5.9,0.1,1.5,0.1,-1.6,0.3,-0.2,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","São Paulo"
-0.2,1.7,-0.1,3.6,0.9,-0.4,1,5.1,-0.2,0.1,0,-6.4,0.1,1.6,0,-1.6,0.3,-0.2,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.2,2.5,0.3,5.7,1.2,-0.2,0.6,7.2,-0.2,-1,0,-5.9,0.1,2.6,0,-2.7,0.3,-0.1,"Hip.","01","C10","Cobertura","AFN","NE","Sala","São Paulo"
-0.1,1.2,-0.1,3.2,0.7,-0.6,-0.4,3,-0.2,0.2,-0.1,-5.9,0.1,1.5,0.1,-1.5,0.3,-0.2,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","São Paulo"
-0.2,1.7,-0.1,3.6,0.9,-0.4,0.9,5.1,-0.2,0.1,0,-6.4,0.1,1.7,0,-1.6,0.3,-0.2,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.2,2.5,0.3,5.7,0.6,-0.2,1.2,7.2,-0.2,-0.9,0,-5.8,0.1,2.6,0,-2.6,0.3,-0.1,"Hip.","01","C10","Cobertura","AFN","NO","Sala","São Paulo"
0.2,-1.3,-0.1,0.3,0.1,-5,-0.4,-5.1,0.1,-0.1,0,6.5,-0.2,-1.3,0.5,0.7,0.1,-0.5,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","São Paulo"
0.2,-1.2,-0.1,0.2,-0.6,-3.2,-0.7,-4.2,0.1,-0.1,0,6.2,-0.1,-1.3,0.2,1.1,0.2,-0.4,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","São Paulo"
0.1,-1,0,0.3,-0.6,-1.1,-0.3,-1.7,0.2,-1.2,0,3.9,-0.1,-0.9,0,0.9,0.1,-0.4,"Hip.","01","C10","Cobertura","AFN","SE","Sala","São Paulo"
0.2,-1.4,-0.1,0.3,-0.4,-5.1,0,-5.2,0.1,-0.1,0,6.7,-0.2,-1.3,0.4,0.8,0.1,-0.5,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","São Paulo"
0.2,-1.2,-0.1,0.2,-0.7,-3.2,-0.6,-4.2,0.1,-0.1,0,6.2,-0.1,-1.4,0.2,1.1,0.2,-0.4,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","São Paulo"
0.1,-1,0,0.4,-0.3,-1.1,-0.7,-1.7,0.2,-1.2,0,3.9,-0.1,-0.9,0,0.9,0.2,-0.4,"Hip.","01","C10","Cobertura","AFN","SO","Sala","São Paulo"
0,0.5,0.3,0.2,1.4,0.2,0.3,2.1,0.1,0,0,-1.2,0,0.2,0.1,-0.3,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","São Paulo"
0,-0.2,0,0.1,-1.1,0,0.1,-0.9,0.1,0,0,0.8,0,0,0.2,-0.3,0.1,-0.3,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","São Paulo"
