"","val","var","sim","dwel","room","weather"
"2",395.4,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",402.5,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",767.6,"int_conv_he","Base","E","Living","Curitiba"
"5",399.8,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",397.4,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",790,"int_conv_he","Base","NE","Living","Curitiba"
"8",399.1,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",397,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",788.5,"int_conv_he","Base","NW","Living","Curitiba"
"11",406.8,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",403.4,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",793.9,"int_conv_he","Base","SE","Living","Curitiba"
"14",406.3,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",403.4,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",793.9,"int_conv_he","Base","SW","Living","Curitiba"
"17",393.7,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",399.8,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",766.6,"int_conv_he","Base","W","Living","Curitiba"
"20",382.7,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",383.4,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",761.1,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",392.6,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",392.7,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",785.9,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",392.6,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",392.6,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",785.5,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",393.3,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",393.3,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",786.7,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",393.3,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",393.3,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",786.7,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.6,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",383.3,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",761.6,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",387.7,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",392,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",762.9,"int_conv_he","Base","E","Living","São Paulo"
"41",395.1,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",394.2,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
"43",787.2,"int_conv_he","Base","NE","Living","São Paulo"
"44",394.9,"int_conv_he","Base","NW","Dorm. 1","São Paulo"
"45",394.1,"int_conv_he","Base","NW","Dorm. 2","São Paulo"
"46",786.8,"int_conv_he","Base","NW","Living","São Paulo"
"47",398.4,"int_conv_he","Base","SE","Dorm. 1","São Paulo"
"48",396.4,"int_conv_he","Base","SE","Dorm. 2","São Paulo"
"49",788.3,"int_conv_he","Base","SE","Living","São Paulo"
"50",398.3,"int_conv_he","Base","SW","Dorm. 1","São Paulo"
"51",396.4,"int_conv_he","Base","SW","Dorm. 2","São Paulo"
"52",788.3,"int_conv_he","Base","SW","Living","São Paulo"
"53",387.2,"int_conv_he","Base","W","Dorm. N","São Paulo"
"54",391,"int_conv_he","Base","W","Dorm. S","São Paulo"
"55",763.1,"int_conv_he","Base","W","Living","São Paulo"
"56",394.7,"int_conv_he","Simp.","E","Dorm. N","Curitiba"
"57",401.7,"int_conv_he","Simp.","E","Dorm. S","Curitiba"
"58",766.8,"int_conv_he","Simp.","E","Living","Curitiba"
"59",398.5,"int_conv_he","Simp.","NE","Dorm. 1","Curitiba"
"60",396.3,"int_conv_he","Simp.","NE","Dorm. 2","Curitiba"
"61",788,"int_conv_he","Simp.","NE","Living","Curitiba"
"62",398.4,"int_conv_he","Simp.","NW","Dorm. 1","Curitiba"
"63",396.3,"int_conv_he","Simp.","NW","Dorm. 2","Curitiba"
"64",788,"int_conv_he","Simp.","NW","Living","Curitiba"
"65",405.2,"int_conv_he","Simp.","SE","Dorm. 1","Curitiba"
"66",401.8,"int_conv_he","Simp.","SE","Dorm. 2","Curitiba"
"67",792.4,"int_conv_he","Simp.","SE","Living","Curitiba"
"68",404.8,"int_conv_he","Simp.","SW","Dorm. 1","Curitiba"
"69",401.8,"int_conv_he","Simp.","SW","Dorm. 2","Curitiba"
"70",792.4,"int_conv_he","Simp.","SW","Living","Curitiba"
"71",393.2,"int_conv_he","Simp.","W","Dorm. N","Curitiba"
"72",399.2,"int_conv_he","Simp.","W","Dorm. S","Curitiba"
"73",766.2,"int_conv_he","Simp.","W","Living","Curitiba"
"74",382.7,"int_conv_he","Simp.","E","Dorm. N","Rio de Janeiro"
