"","val","var","sim","dwel","room","weather"
"2",389.7,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",396,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",764.8,"int_conv_he","Base","E","Living","Curitiba"
"5",396.7,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",395.3,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",788.5,"int_conv_he","Base","NE","Living","Curitiba"
"8",396.3,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",395,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",787.2,"int_conv_he","Base","NW","Living","Curitiba"
"11",402.1,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",399.8,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",790.8,"int_conv_he","Base","SE","Living","Curitiba"
"14",401.8,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",399.8,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",790.8,"int_conv_he","Base","SW","Living","Curitiba"
"17",388.9,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",394.1,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",764.7,"int_conv_he","Base","W","Living","Curitiba"
"20",382.5,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",383.2,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",760.9,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",392.4,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",392.5,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",785.9,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",392.4,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",392.4,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",785.3,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",393.2,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",393.3,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",786.7,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",393.2,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",393.3,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",786.7,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.4,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",383.1,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",761.5,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",385,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",388,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",762.3,"int_conv_he","Base","E","Living","São Paulo"
"41",393.9,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",393.4,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
"43",786.9,"int_conv_he","Base","NE","Living","São Paulo"
"44",393.8,"int_conv_he","Base","NW","Dorm. 1","São Paulo"
"45",393.4,"int_conv_he","Base","NW","Dorm. 2","São Paulo"
"46",786.4,"int_conv_he","Base","NW","Living","São Paulo"
"47",395.7,"int_conv_he","Base","SE","Dorm. 1","São Paulo"
"48",394.7,"int_conv_he","Base","SE","Dorm. 2","São Paulo"
"49",787.7,"int_conv_he","Base","SE","Living","São Paulo"
"50",395.7,"int_conv_he","Base","SW","Dorm. 1","São Paulo"
"51",394.7,"int_conv_he","Base","SW","Dorm. 2","São Paulo"
"52",787.7,"int_conv_he","Base","SW","Living","São Paulo"
"53",384.8,"int_conv_he","Base","W","Dorm. N","São Paulo"
"54",387.4,"int_conv_he","Base","W","Dorm. S","São Paulo"
"55",762.7,"int_conv_he","Base","W","Living","São Paulo"
"56",389.1,"int_conv_he","Simp.","E","Dorm. N","Curitiba"
"57",395.1,"int_conv_he","Simp.","E","Dorm. S","Curitiba"
"58",764.1,"int_conv_he","Simp.","E","Living","Curitiba"
"59",395.6,"int_conv_he","Simp.","NE","Dorm. 1","Curitiba"
"60",394.3,"int_conv_he","Simp.","NE","Dorm. 2","Curitiba"
"61",786.9,"int_conv_he","Simp.","NE","Living","Curitiba"
"62",395.6,"int_conv_he","Simp.","NW","Dorm. 1","Curitiba"
"63",394.3,"int_conv_he","Simp.","NW","Dorm. 2","Curitiba"
"64",786.9,"int_conv_he","Simp.","NW","Living","Curitiba"
"65",400.6,"int_conv_he","Simp.","SE","Dorm. 1","Curitiba"
"66",398.1,"int_conv_he","Simp.","SE","Dorm. 2","Curitiba"
"67",789.5,"int_conv_he","Simp.","SE","Living","Curitiba"
"68",400.4,"int_conv_he","Simp.","SW","Dorm. 1","Curitiba"
"69",398.1,"int_conv_he","Simp.","SW","Dorm. 2","Curitiba"
"70",789.5,"int_conv_he","Simp.","SW","Living","Curitiba"
"71",388.4,"int_conv_he","Simp.","W","Dorm. N","Curitiba"
"72",393.4,"int_conv_he","Simp.","W","Dorm. S","Curitiba"
"73",764.2,"int_conv_he","Simp.","W","Living","Curitiba"
"74",382.5,"int_conv_he","Simp.","E","Dorm. N","Rio de Janeiro"
"75",383.2,"int_conv_he","Simp.","E","Dorm. S","Rio de Janeiro"
"76",760.9,"int_conv_he","Simp.","E","Living","Rio de Janeiro"
"77",392.4,"int_conv_he","Simp.","NE","Dorm. 1","Rio de Janeiro"
"78",392.4,"int_conv_he","Simp.","NE","Dorm. 2","Rio de Janeiro"
"79",785.3,"int_conv_he","Simp.","NE","Living","Rio de Janeiro"
"80",392.4,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",392.4,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",785.3,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",393.2,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",393.2,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",786.6,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",393.2,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",393.2,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",786.6,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382.4,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",383.1,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",761.5,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",384.8,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",387.5,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",762.1,"int_conv_he","Simp.","E","Living","São Paulo"
"95",393.5,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",393.2,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",786.3,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",393.5,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",393.2,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",786.3,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",395.1,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",394.3,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",787.5,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",395.1,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",394.3,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",787.5,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",384.6,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",387,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",762.6,"int_conv_he","Simp.","W","Living","São Paulo"
"110",132.9,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",61.2,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",315,"conv_hge_floor","Base","E","Living","Curitiba"
"113",214.6,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",227.7,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",273.4,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",221.8,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",235.6,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
"118",611.6,"conv_hge_floor","Base","NW","Living","Curitiba"
"119",94.9,"conv_hge_floor","Base","SE","Dorm. 1","Curitiba"
"120",102.7,"conv_hge_floor","Base","SE","Dorm. 2","Curitiba"
"121",268.5,"conv_hge_floor","Base","SE","Living","Curitiba"
"122",96,"conv_hge_floor","Base","SW","Dorm. 1","Curitiba"
"123",102.8,"conv_hge_floor","Base","SW","Dorm. 2","Curitiba"
"124",269.1,"conv_hge_floor","Base","SW","Living","Curitiba"
"125",150.2,"conv_hge_floor","Base","W","Dorm. N","Curitiba"
"126",73.1,"conv_hge_floor","Base","W","Dorm. S","Curitiba"
"127",434.9,"conv_hge_floor","Base","W","Living","Curitiba"
"128",339.1,"conv_hge_floor","Base","E","Dorm. N","Rio de Janeiro"
"129",223,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",656.3,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",459.1,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",448.3,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",596.1,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",465.1,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",457.6,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",1007.8,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",281.5,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",272.4,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",558.9,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",279.8,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",272.4,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",558.8,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",345.8,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",229.3,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",721.6,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",209.9,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",124.1,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",463.3,"conv_hge_floor","Base","E","Living","São Paulo"
"149",306.2,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",311.2,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",405.1,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",311.8,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",319.5,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",761.2,"conv_hge_floor","Base","NW","Living","São Paulo"
"155",166.9,"conv_hge_floor","Base","SE","Dorm. 1","São Paulo"
"156",169.3,"conv_hge_floor","Base","SE","Dorm. 2","São Paulo"
"157",388.2,"conv_hge_floor","Base","SE","Living","São Paulo"
"158",165.9,"conv_hge_floor","Base","SW","Dorm. 1","São Paulo"
"159",169.3,"conv_hge_floor","Base","SW","Dorm. 2","São Paulo"
"160",388.2,"conv_hge_floor","Base","SW","Living","São Paulo"
"161",217.7,"conv_hge_floor","Base","W","Dorm. N","São Paulo"
"162",129.3,"conv_hge_floor","Base","W","Dorm. S","São Paulo"
"163",514.1,"conv_hge_floor","Base","W","Living","São Paulo"
"164",149.7,"conv_hge_floor","Simp.","E","Dorm. N","Curitiba"
"165",58.3,"conv_hge_floor","Simp.","E","Dorm. S","Curitiba"
"166",335.6,"conv_hge_floor","Simp.","E","Living","Curitiba"
