"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",393.8,43.8,37.5,-93.4,16.5,-113.1,-49.1,52.3,-63.9,4.6,1.4,-301,0.2,-12.8,1.4,39.4,"E","Dorm. N","Curitiba","Hyp.","C10","Base"
"year1",398.6,86.1,-6.1,-176.2,-140.9,-91.2,33.6,22.3,-70.9,6,4.9,-229.8,0.1,-11.3,4.9,30.3555555555556,"E","Dorm. S","Curitiba","Hyp.","C10","Base"
"year2",765.3,167.2,107.1,167,36.8,-57.7,75.1,112.8,-94.2,46.5,0,-1147.7,0.3,-21.2,0,96.8266666666667,"E","Living","Curitiba","Hyp.","C10","Base"
"year3",399,39.5,76.2,36,31.5,42,-68.9,31.4,-87.3,9.1,0,-448.5,0.3,-16.1,0,43.075,"NE","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year4",397,28.7,86.2,104.6,24,46.3,-50.1,84.4,-86,8.7,0,-516.1,0.3,-15.1,0,49.3333333333333,"NE","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year5",788.5,206.4,104.7,403.5,110.2,0,37.3,139.3,-106.9,66.3,0,-1461.1,1.2,-18.5,0,88.61,"NE","Living","Curitiba","Hyp.","C10","Base"
"year6",398.6,36.9,81.5,52.9,31.7,41.3,-69.4,49.3,-87.6,11.9,0,-471,0.3,-16.2,0,45.0333333333333,"NW","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year7",396.9,26.7,90.7,113.7,23.8,82.4,-50.7,58.2,-86.4,10.1,0,-529.4,0.3,-15.2,0,50.4583333333333,"NW","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year8",788,193.7,251.3,427.1,116.4,146.4,41.8,0,-107.7,72.5,0,-1619.3,1.2,-19.2,0,96.875,"NW","Living","Curitiba","Hyp.","C10","Base"
"year9",403.7,94.5,14.9,-86.4,-191.4,19.8,60.3,24.9,-95.4,5.2,0,-321,0.1,-14.4,0,31.3833333333333,"SE","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year10",401,75.6,22.8,-26.5,-140.3,30.7,42.5,40.6,-96.2,4.8,0,-365.3,0.2,-13.7,0,35.675,"SE","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year11",791,212.3,77.2,57,-173.2,0,101.7,65.9,-141.5,35.4,0,-1020.6,0.5,-18.1,0,65.07,"SE","Living","Curitiba","Hyp.","C10","Base"
"year12",403.4,93.2,16.7,-77.1,-191,25.1,60.5,28.4,-95.5,5.3,0,-330.4,0.1,-14.4,0,32.2333333333333,"SW","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year13",401,75.6,22.9,-26.3,-140.3,40.6,42.5,30.8,-96.1,4.8,0,-365.6,0.2,-13.7,0,35.6916666666667,"SW","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year14",791,212,77.8,58.3,-172.8,66.2,101.8,0,-141.5,35.6,0,-1022.4,0.5,-18.1,0,65.17,"SW","Living","Curitiba","Hyp.","C10","Base"
"year15",392.5,40.9,46,-23.1,26.1,57.8,-49.2,-57.8,-64.4,6.7,1.1,-374.4,0.3,-13.2,1.1,47.8777777777778,"W","Dorm. N","Curitiba","Hyp.","C10","Base"
"year16",396.5,79.3,-0.5,-107.9,-141,21.8,42,-30.7,-72.4,7.8,3.7,-291.2,0.1,-12,3.7,37.6111111111111,"W","Dorm. S","Curitiba","Hyp.","C10","Base"
"year17",765,213.6,172.6,390.4,59.3,148.6,96.6,86,-75.8,71.1,0,-1539,0.7,-14.9,0,123.726666666667,"W","Living","Curitiba","Hyp.","C10","Base"
"year18",383,241.1,154.4,731.5,139.5,218.9,177,196.1,2.2,33.6,0,-1508.5,0.8,-3,0,179.811111111111,"E","Dorm. N","Rio de Janeiro","Hyp.","C10","Base"
"year19",383.3,260.2,97.9,581.9,67.3,231,143.3,140.4,-8.3,31.9,0,-1328.4,0.7,-6.9,0,160.622222222222,"E","Dorm. S","Rio de Janeiro","Hyp.","C10","Base"
"year20",761.3,483.6,316.6,1142.4,173.6,424.8,219.7,324.3,24.6,146.3,0,-2901.5,1.4,-4.1,0,217.58,"E","Living","Rio de Janeiro","Hyp.","C10","Base"
"year21",392.8,355.7,223.3,893.8,253.9,229,257.6,153.4,10.5,38.9,0,-1883.1,1,-3.2,0,166.433333333333,"NE","Dorm. 1","Rio de Janeiro","Hyp.","C10","Base"
"year22",392.9,361.8,218.5,890.7,193.2,224.9,181.3,291.2,13.1,37.9,0,-1886.1,1.2,-2.9,0,166.741666666667,"NE","Dorm. 2","Rio de Janeiro","Hyp.","C10","Base"
"year23",785.8,680,319.6,1378.4,323.4,0,461.4,302.3,50.1,155.1,0,-3389.7,1.8,-5.5,0,187.22,"NE","Living","Rio de Janeiro","Hyp.","C10","Base"
