"","val","var","sim","dwel","room","weather"
"2",389,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",394,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",763.9,"int_conv_he","Base","E","Living","Curitiba"
"5",398.1,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",397.5,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",788.6,"int_conv_he","Base","NE","Living","Curitiba"
"8",397.8,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",397.2,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",787.3,"int_conv_he","Base","NW","Living","Curitiba"
"11",403.6,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",402.7,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",790.6,"int_conv_he","Base","SE","Living","Curitiba"
"14",403.6,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",402.7,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",790.6,"int_conv_he","Base","SW","Living","Curitiba"
"17",388.8,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",393.4,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",763.8,"int_conv_he","Base","W","Living","Curitiba"
"20",382.1,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",382.8,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",760,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",391.9,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",391.9,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",784.8,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",391.9,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",391.8,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",784.2,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",392.7,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",392.7,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",785.6,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",392.7,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",392.7,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",785.6,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.1,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",382.8,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",760.2,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",384.8,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",387.4,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",761.7,"int_conv_he","Base","E","Living","São Paulo"
"41",394.3,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",394.1,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
