"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.5","-76.3","9.2","8","4.4","12.8","10.2","9.1","11.8","24.7","-0.2","1.9","4.3","26.9","11.5","0","44.7","55.3","00","linear","ref","1","corner","ne","dorm1","curitiba"
"58.1","-84.8","9.5","8.8","8.5","10.3","10.3","11.4","28.3","10.3","-0.1","2.2","4.6","26","12.5","0","40.8","59.2","00","linear","ref","1","corner","ne","dorm2","curitiba"
"41.8","-107.5","12.5","6.1","7.7","7.6","8.5","7.8","27.3","4.2","-0.1","3.5","7.9","25.9","12.1","0","27.5","72.5","00","linear","ref","1","corner","ne","liv","curitiba"
"54.4","-98.9","9.6","7.8","4.5","9.3","10.2","10.3","12.1","22.2","-0.2","2","5.6","27.1","11.4","0","44.4","55.6","00","linear","ref","1","corner","nw","dorm1","curitiba"
"58.1","-109.6","9.6","9.2","9","12.4","10.4","10.4","29.5","12.7","-0.1","2.3","6","26","12.1","0","40.5","59.5","00","linear","ref","1","corner","nw","dorm2","curitiba"
"41.5","-88.4","10.1","5.4","6.6","6.6","7.4","5.9","23.4","3.1","-0.4","2.9","5.7","25.9","11.2","0","26.9","73.1","00","linear","ref","1","corner","nw","liv","curitiba"
"54.5","-67.9","10.3","4.9","2.5","12.9","6.9","6.2","8.5","20","-1.3","1.6","3.8","26.9","11.1","0","47.3","52.7","00","linear","ref","1","corner","se","dorm1","curitiba"
"58.1","-74.5","10.8","4.7","2.6","6.9","7.1","8.3","21.5","3.4","-1.2","1.8","4.1","25.7","11.9","0","44.3","55.7","00","linear","ref","1","corner","se","dorm2","curitiba"
"42.1","-101.5","14.1","5.4","6","7.2","9.7","6.2","25.4","3.8","-0.2","3.2","7.8","25.8","12.2","0","32.1","67.9","00","linear","ref","1","corner","se","liv","curitiba"
"54.5","-91.9","10.9","4.7","2.7","6.4","6.9","10.4","8.8","17.6","-1.2","1.7","5.3","27.1","11.2","0","46.6","53.4","00","linear","ref","1","corner","sw","dorm1","curitiba"
"58.1","-100.4","11","5.1","2.7","9.2","7.6","7.1","22.7","3.9","-1.2","1.9","5.6","25.7","12","0","43.4","56.6","00","linear","ref","1","corner","sw","dorm2","curitiba"
"41.8","-80.7","11.7","4.7","4.9","5.1","8.5","5.5","21.4","2.5","-0.5","2.6","5.4","25.9","11.6","0","31","69","00","linear","ref","1","corner","sw","liv","curitiba"
"44.5","-82.4","8.4","4.2","-3","6.7","11.6","3.1","9.8","8.7","-0.4","1.3","4.4","25.4","12.4","0","42.8","57.2","00","linear","ref","1","middle","ne","dorm1","curitiba"
"57.1","-110.7","9","9","9.5","8.9","14.6","7.4","25.8","14.6","-0.3","2.3","5.9","26.2","12.4","0","40.5","59.5","00","linear","ref","1","middle","ne","dorm2","curitiba"
"45.5","-86.4","9.7","6.8","3.7","6","8.7","5.1","17.6","6","-0.2","2.9","4.8","25.7","12.4","0","23.2","76.8","00","linear","ref","1","middle","ne","liv","curitiba"
"44.5","-82.3","8.3","4.2","-3","3.1","11.6","6.7","9.7","8.7","-0.4","1.3","4.4","25.4","12.4","0","42.7","57.3","00","linear","ref","1","middle","nw","dorm1","curitiba"
"57.1","-110.5","8.9","9","9.5","7.4","14.6","8.9","25.8","14.6","-0.3","2.3","5.8","26.2","12.4","0","40.5","59.5","00","linear","ref","1","middle","nw","dorm2","curitiba"
"45.5","-86.2","9.7","6.9","3.7","5.1","8.7","6.2","17.7","6","-0.2","2.9","4.7","25.7","12.4","0","23.2","76.8","00","linear","ref","1","middle","nw","liv","curitiba"
"44.6","-72","11","1.9","4","4.3","-3.7","3.6","6.3","2","-1.4","1.5","4.1","25","12","0","46.4","53.6","00","linear","ref","1","middle","se","dorm1","curitiba"
"57.2","-96","11.3","4.6","4.1","6.3","6.9","4.9","18.1","4.1","-1.2","1.6","5.4","25.3","11.8","0","44.9","55.1","00","linear","ref","1","middle","se","dorm2","curitiba"
"46.1","-75.7","12.3","4.1","3.5","5.4","4.2","3.7","15.2","1.6","-0.9","2.4","4.4","25.3","12","0","32.4","67.6","00","linear","ref","1","middle","se","liv","curitiba"
"44.6","-72.4","11","1.9","4","3.6","-3.6","4.3","6.2","2","-1.4","1.6","4.1","24.9","12","0","46.3","53.7","00","linear","ref","1","middle","sw","dorm1","curitiba"
"57.2","-96.1","11.3","4.6","4.1","5","6.9","6.3","18.2","4.1","-1.2","1.6","5.4","25.3","11.8","0","44.9","55.1","00","linear","ref","1","middle","sw","dorm2","curitiba"
