"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.6,0.6,2.8,-0.300000000000001,-0.399999999999999,0.0999999999999996,2.3,-0.300000000000001,0.3,0,-3.7,0,0,-1.8,1.8,0.300000000000001,0.4,"Hip.",9,"TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.199999999999996,-0.3,0.6,3.5,0.5,0.2,0.4,4.6,-0.4,0,0,-4.3,0.1,2.9,-1.7,-1.10000000000001,0.299999999999997,0.5,"Hip.",9,"TV","Térreo","AFN","SE","Sala","Curitiba"
-0.100000000000001,0.699999999999999,0.700000000000001,3.8,-0.2,-0.4,0,3.2,-0.3,0.3,0,-4.69999999999999,0.1,0.1,-2.2,2.3,0.200000000000003,0.699999999999999,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,0.700000000000001,0.6,2.8,0.299999999999999,-0.299999999999999,-0.399999999999999,2.3,-0.300000000000001,0.3,0,-3.59999999999999,0,0,-1.9,1.90000000000001,0.300000000000001,0.199999999999999,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.199999999999996,-0.3,0.6,3.5,0.5,0.2,0.4,4.6,-0.4,0,0,-4.3,0.1,2.9,-1.7,-1.10000000000001,0.299999999999997,0.5,"Hip.",9,"TV","Térreo","AFN","SO","Sala","Curitiba"
-0.100000000000001,1.1,1.1,0.0999999999999996,0.300000000000001,0.8,1.6,2.8,-0.2,0.5,0,-5.5,0.0999999999999996,0,-1.8,1.7,-0.400000000000002,1,"Hip.",9,"TV","Térreo","AFN","O","Dorm. N","Curitiba"
0,1,1,4.5,1,-1.5,-1.1,2.9,-0.3,0.5,0,-5.5,0.1,0.1,-2.4,2.5,-0.600000000000001,1,"Hip.",9,"TV","Térreo","AFN","O","Dorm. S","Curitiba"
-0.300000000000004,-0.0999999999999996,0.9,0.7,2.6,0.399999999999999,1.8,5.5,-0.5,0.1,0,-5.60000000000001,0.1,2.7,-1.1,-1.5,0.200000000000003,0.700000000000001,"Hip.",9,"TV","Térreo","AFN","O","Sala","Curitiba"
-0.300000000000004,1,1.4,0.200000000000001,1.4,0.2,-0.0999999999999996,1.59999999999999,-0.2,0.5,0,-4.3,0,2.2,0,-2.2,0,0.300000000000001,"Hip.",9,"TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
-0.199999999999996,1.1,1.1,3.6,-1.3,-1.5,0.6,1.3,-0.2,0.600000000000001,0,-4.10000000000001,0.0999999999999996,1.90000000000001,0,-1.90000000000001,-0.300000000000004,0.300000000000001,"Hip.",9,"TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-0.299999999999997,0,0.800000000000001,0.6,2,0.3,1.5,4.4,-0.4,0.1,0,-4.80000000000001,0.1,2.5,0,-2.5,0.200000000000003,0.400000000000002,"Hip.",9,"TV","Térreo","AFN","L","Sala","Rio de Janeiro"
-0.199999999999999,0.800000000000001,0.9,2.9,-0.299999999999999,-0.0999999999999996,-0.699999999999999,1.8,-0.3,0.2,0,-3.3,0,1.40000000000001,0,-1.4,0.300000000000004,0,"Hip.",9,"TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.0999999999999979,0.699999999999999,0.699999999999999,2.3,-1,0,-0.399999999999999,0.899999999999999,-0.4,0.2,0,-2.10000000000001,0,0.900000000000006,0,-0.899999999999999,0.399999999999999,0,"Hip.",9,"TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.300000000000001,0.0999999999999996,0.9,2.6,0.5,0.9,0.5,4.5,-0.4,0.0999999999999996,0,-5,0,1.59999999999999,0,-1.6,0.5,0.199999999999999,"Hip.",9,"TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
-0.199999999999999,0.800000000000001,0.9,2.8,-0.699999999999999,-0.100000000000001,-0.299999999999999,1.7,-0.4,0.2,0,-3.19999999999999,0,1.40000000000001,0,-1.4,0.300000000000004,0,"Hip.",9,"TV","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.0999999999999979,0.800000000000001,0.699999999999999,2.3,-0.4,0,-0.900000000000002,0.900000000000006,-0.4,0.100000000000001,0,-2.09999999999999,0,0.799999999999997,0,-0.800000000000001,0.5,0,"Hip.",9,"TV","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.300000000000001,0.0999999999999996,0.9,2.6,0.5,0.9,0.5,4.5,-0.4,0.0999999999999996,0,-5,0,1.59999999999999,0,-1.6,0.5,0.199999999999999,"Hip.",9,"TV","Térreo","AFN","NO","Sala","Rio de Janeiro"
-0.199999999999999,0.699999999999999,0.600000000000001,2.7,0,-0.899999999999999,-0.300000000000001,1.4,-0.2,0.3,0,-2.8,0,1.1,0,-1.1,0,0.0999999999999979,"Hip.",9,"TV","Térreo","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.100000000000001,0.600000000000001,0.5,1.9,-0.4,-0.800000000000001,0,0.700000000000003,-0.3,0.2,0,-1.8,0,0.799999999999997,0,-0.799999999999997,0.200000000000003,0,"Hip.",9,"TV","Térreo","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.199999999999996,-0.0999999999999996,0.5,3,0.4,-0.199999999999999,0.4,3.7,-0.3,0.0999999999999999,0,-3.7,0.1,2.59999999999999,0,-2.6,0.199999999999996,0.200000000000003,"Hip.",9,"TV","Térreo","AFN","SE","Sala","Rio de Janeiro"
-0.199999999999999,0.700000000000003,0.600000000000001,2.6,-0.300000000000001,-0.899999999999999,0,1.5,-0.3,0.3,0,-2.7,0,1,0,-1,0.100000000000001,0.0999999999999979,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.100000000000001,0.599999999999998,0.5,2,0,-0.800000000000001,-0.5,0.700000000000003,-0.2,0.2,0,-1.8,0,0.799999999999997,0,-0.799999999999997,0.100000000000001,0,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.199999999999996,-0.0999999999999996,0.5,3,0.4,-0.199999999999999,0.4,3.7,-0.3,0.0999999999999999,0,-3.7,0.1,2.59999999999999,0,-2.6,0.199999999999996,0.200000000000003,"Hip.",9,"TV","Térreo","AFN","SO","Sala","Rio de Janeiro"
-0.199999999999996,0.900000000000002,1.1,0.200000000000001,-0.199999999999999,-0.0999999999999996,1.2,1.2,-0.2,0.5,0,-3.5,0.1,1.89999999999999,0,-1.9,-0.400000000000006,0.199999999999999,"Hip.",9,"TV","Térreo","AFN","O","Dorm. N","Rio de Janeiro"
-0.100000000000001,1,1,3.5,0.6,-1.7,-1.8,0.699999999999999,-0.0999999999999996,0.4,0,-3.2,0,1.6,0,-1.6,-0.600000000000001,0.300000000000001,"Hip.",9,"TV","Térreo","AFN","O","Dorm. S","Rio de Janeiro"
-0.299999999999997,0,0.800000000000001,0.699999999999999,1.9,0.399999999999999,1.3,4.2,-0.4,0.2,0,-4.5,0.1,2.40000000000001,0,-2.4,0.100000000000001,0.5,"Hip.",9,"TV","Térreo","AFN","O","Sala","Rio de Janeiro"
-0.199999999999996,1.1,1.3,0.299999999999999,1.9,0.2,0,2.5,-0.2,0.6,0,-5.3,0.0999999999999996,1.5,-0.5,-1,-0.100000000000001,0.600000000000001,"Hip.",9,"TV","Térreo","AFN","L","Dorm. N","São Paulo"
-0.200000000000003,1.2,1.1,3.8,-0.300000000000001,-1.2,0.600000000000001,2.8,-0.100000000000001,0.6,0,-5.5,0.1,1.4,-0.6,-0.799999999999997,-0.200000000000003,1,"Hip.",9,"TV","Térreo","AFN","L","Dorm. S","São Paulo"
-0.299999999999997,-0.2,0.799999999999999,0.6,2.4,0.3,1.7,4.8,-0.4,0.1,0,-4.7,0.1,2.8,0,-2.8,0.299999999999997,0.599999999999998,"Hip.",9,"TV","Térreo","AFN","L","Sala","São Paulo"
-0.0999999999999943,0.899999999999999,0.9,2.9,-0.300000000000001,-0.100000000000001,-0.699999999999999,1.8,-0.3,0.3,0,-3.40000000000001,0,1.6,-0.1,-1.5,0.299999999999997,0.0999999999999979,"Hip.",9,"TV","Térreo","AFN","NE","Dorm. 1","São Paulo"
0,0.600000000000001,0.699999999999999,2.2,-1,0,-0.300000000000001,0.799999999999997,-0.3,0.2,0,-2.2,0.0999999999999996,1.1,0,-1,0.5,0.300000000000001,"Hip.",9,"TV","Térreo","AFN","NE","Dorm. 2","São Paulo"
-0.299999999999997,-0.0999999999999996,0.799999999999999,2.4,0.5,1.2,0.5,4.6,-0.4,0.0999999999999996,0,-4.90000000000001,0.1,3.4,0,-3.4,0.300000000000004,0.5,"Hip.",9,"TV","Térreo","AFN","NE","Sala","São Paulo"
-0.0999999999999943,0.800000000000001,0.9,2.8,-0.6,-0.2,-0.300000000000001,1.7,-0.3,0.2,0,-3.40000000000001,0,1.5,-0.1,-1.5,0.399999999999999,0.0999999999999979,"Hip.",9,"TV","Térreo","AFN","NO","Dorm. 1","São Paulo"
0,0.699999999999999,0.799999999999999,2.2,-0.300000000000001,0,-0.899999999999999,1,-0.3,0.2,0,-2.2,0.0999999999999996,1.1,0,-1,0.399999999999999,0.199999999999999,"Hip.",9,"TV","Térreo","AFN","NO","Dorm. 2","São Paulo"
-0.299999999999997,-0.0999999999999996,0.799999999999999,2.4,0.5,1.2,0.5,4.6,-0.4,0.0999999999999996,0,-4.90000000000001,0.1,3.4,0,-3.4,0.300000000000004,0.5,"Hip.",9,"TV","Térreo","AFN","NO","Sala","São Paulo"
-0.0999999999999943,0.800000000000001,0.699999999999999,2.8,0,-0.600000000000001,-0.3,1.9,-0.2,0.3,0,-3.40000000000001,0.1,1.4,-0.3,-1.10000000000001,0.0999999999999979,-0.100000000000001,"Hip.",9,"TV","Térreo","AFN","SE","Dorm. 1","São Paulo"
0,0.6,0.5,2,-0.4,-0.5,0.100000000000001,1.1,-0.2,0.2,0,-2.19999999999999,0.1,1,0,-1,0.100000000000001,-0.200000000000003,"Hip.",9,"TV","Térreo","AFN","SE","Dorm. 2","São Paulo"
-0.200000000000003,-0.300000000000001,0.5,3,0.4,0,0.4,3.8,-0.399999999999999,0.0999999999999999,0,-3.6,0.1,2.09999999999999,0,-2.09999999999999,0.300000000000001,0.5,"Hip.",9,"TV","Térreo","AFN","SE","Sala","São Paulo"
-0.0999999999999943,0.799999999999999,0.699999999999999,2.8,-0.300000000000001,-0.5,0,1.9,-0.2,0.3,0,-3.39999999999999,0,1.4,-0.3,-1.10000000000001,0.0999999999999979,-0.100000000000001,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 1","São Paulo"
0,0.600000000000001,0.5,2,0,-0.5,-0.4,1.1,-0.2,0.2,0,-2.09999999999999,0.1,1.1,0,-0.899999999999991,0.199999999999999,-0.200000000000003,"Hip.",9,"TV","Térreo","AFN","SO","Dorm. 2","São Paulo"
-0.200000000000003,-0.300000000000001,0.5,3,0.4,0,0.4,3.8,-0.399999999999999,0.0999999999999999,0,-3.6,0.1,2.09999999999999,0,-2.09999999999999,0.300000000000001,0.5,"Hip.",9,"TV","Térreo","AFN","SO","Sala","São Paulo"
-0.200000000000003,1,1.1,0.199999999999999,-0.0999999999999996,0.100000000000001,1.7,2,-0.2,0.5,0,-4.69999999999999,0,1.1,-0.4,-0.700000000000003,-0.399999999999999,0.900000000000002,"Hip.",9,"TV","Térreo","AFN","O","Dorm. N","São Paulo"
-0.100000000000001,1.1,1.1,3.6,0.699999999999999,-1.4,-0.9,2,-0.2,0.5,0,-4.7,0,0.899999999999999,-0.5,-0.399999999999991,-0.5,0.699999999999999,"Hip.",9,"TV","Térreo","AFN","O","Dorm. S","São Paulo"
-0.300000000000004,-0.2,0.800000000000001,0.6,1.9,0.3,1.8,4.7,-0.399999999999999,0.2,0,-4.7,0.1,2.7,0,-2.7,0.100000000000001,0.599999999999998,"Hip.",9,"TV","Térreo","AFN","O","Sala","São Paulo"
